"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"glmnet",0.05,10000,1000,1,10,0.0292854347672498,1,0
"two-step",0.05,10000,1000,200,10,0.14040976581675,1,0.00606060606060606
"two-step+Adaptive Lasso",0.05,10000,1000,200,10,0.172956019343702,1,0
"two-step oracle",0.05,10000,1000,200,10,0.01961973752278,NA,NA
"glmnet",0.05,10000,1000,200,10,0.0308774543600297,1,0
"two-step",0.05,10000,1000,201,10,0.146755777427361,1,0.0151515151515152
"two-step+Adaptive Lasso",0.05,10000,1000,201,10,0.346074819119797,1,0.0131313131313131
"two-step oracle",0.05,10000,1000,201,10,0.012793736450682,NA,NA
"glmnet",0.05,10000,1000,201,10,0.0289366517632779,1,0
"two-step",0.05,10000,1000,202,10,0.180548500691245,1,0.00808080808080808
"two-step+Adaptive Lasso",0.05,10000,1000,202,10,0.301051193200567,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,202,10,0.00749888397065011,NA,NA
"glmnet",0.05,10000,1000,202,10,0.023813928202077,1,0
"two-step",0.05,10000,1000,203,10,0.113274399531585,1,0.0161616161616162
"two-step+Adaptive Lasso",0.05,10000,1000,203,10,0.326057016688016,1,0.0151515151515152
"two-step oracle",0.05,10000,1000,203,10,0.0111974216920546,NA,NA
"glmnet",0.05,10000,1000,203,10,0.0238134545023494,1,0
"two-step",0.05,10000,1000,204,10,0.151238944885998,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,204,10,0.20536410279626,1,0
"two-step oracle",0.05,10000,1000,204,10,0.0171497115420308,NA,NA
"glmnet",0.05,10000,1000,204,10,0.029939480360855,1,0
"two-step",0.05,10000,1000,208,10,0.231207031016236,1,0.00202020202020202
"two-step+Adaptive Lasso",0.05,10000,1000,208,10,0.27486161014435,1,0
"two-step oracle",0.05,10000,1000,208,10,0.00864786700879977,NA,NA
"glmnet",0.05,10000,1000,208,10,0.0229767193156832,1,0
"two-step",0.05,10000,1000,209,10,0.106942001262159,1,0.00404040404040404
"two-step+Adaptive Lasso",0.05,10000,1000,209,10,0.232932467170765,1,0.00303030303030303
"two-step oracle",0.05,10000,1000,209,10,0.00951329369568906,NA,NA
"glmnet",0.05,10000,1000,209,10,0.0247558520159007,1,0
"two-step",0.05,10000,1000,20,10,0.0913949775823261,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,20,10,0.228892231203291,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,20,10,0.0129041147357341,NA,NA
"glmnet",0.05,10000,1000,20,10,0.0315132555820731,1,0
"two-step",0.05,10000,1000,211,10,0.137745484791211,1,0.0171717171717172
"two-step+Adaptive Lasso",0.05,10000,1000,211,10,0.34631323845195,1,0.0171717171717172
"two-step oracle",0.05,10000,1000,211,10,0.00846760215325176,NA,NA
"glmnet",0.05,10000,1000,211,10,0.0243780050412866,1,0
"two-step",0.05,10000,1000,21,10,0.149728923566539,1,0.0292929292929293
"two-step+Adaptive Lasso",0.05,10000,1000,21,10,0.392502677908242,1,0.0262626262626263
"two-step oracle",0.05,10000,1000,21,10,0.0199965169086417,NA,NA
"glmnet",0.05,10000,1000,21,10,0.032557218957426,1,0
"two-step",0.05,10000,1000,220,10,0.153191441065341,1,0.00808080808080808
"two-step+Adaptive Lasso",0.05,10000,1000,220,10,0.207043754570891,1,0
"two-step oracle",0.05,10000,1000,220,10,0.0106781152105488,NA,NA
"glmnet",0.05,10000,1000,220,10,0.0325476622850941,1,0
"two-step",0.05,10000,1000,221,10,0.176665377607937,1,0.0171717171717172
