"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step",0.05,10000,1000,181,10,0.121290925423104,0.10081294616064,1,0.0868686868686869
"two-step+refitted",0.05,10000,1000,181,10,0.0748742779671852,0.360147881968815,1,0.0868686868686869
"two-step oracle",0.05,10000,1000,181,10,0.0863006857245783,0,NA,NA
"two-step",0.05,10000,1000,182,10,0.115434154612167,0.0628423389529885,1,0.0505050505050505
"two-step+refitted",0.05,10000,1000,182,10,0.0359157658586983,0.285361076490619,1,0.0505050505050505
"two-step oracle",0.05,10000,1000,182,10,0.0311643051947328,0,NA,NA
"two-step",0.05,10000,1000,183,10,0.136230960926794,0.0449603013036812,1,0.0272727272727273
"two-step+refitted",0.05,10000,1000,183,10,0.0537168567203308,0.237420044731283,1,0.0272727272727273
"two-step oracle",0.05,10000,1000,183,10,0.051144964481537,0,NA,NA
"two-step",0.05,10000,1000,184,10,0.106397412666696,0.0575261733711249,1,0.0555555555555556
"two-step+refitted",0.05,10000,1000,184,10,0.0448945489686663,0.282279788068574,1,0.0555555555555556
"two-step oracle",0.05,10000,1000,184,10,0.0471415656350476,0,NA,NA
"two-step",0.05,10000,1000,185,10,0.133005654543243,0.0400175163190496,1,0.0262626262626263
"two-step+refitted",0.05,10000,1000,185,10,0.0542238031367394,0.228066925484347,1,0.0262626262626263
"two-step oracle",0.05,10000,1000,185,10,0.057172954843547,0,NA,NA
"two-step",0.05,10000,1000,186,10,0.161153462651331,0.0747347376032575,1,0.0666666666666667
"two-step+refitted",0.05,10000,1000,186,10,0.0865994938759578,0.366903871929138,1,0.0666666666666667
"two-step oracle",0.05,10000,1000,186,10,0.0840414939809215,0,NA,NA
"two-step",0.05,10000,1000,187,10,0.128492226464915,0.0318726757473664,1,0.0161616161616162
"two-step+refitted",0.05,10000,1000,187,10,0.0477309512917219,0.177425130617144,1,0.0161616161616162
"two-step oracle",0.05,10000,1000,187,10,0.0524875496493469,0,NA,NA
