"Method","alpha","n","p","seed","s","mul","est_error","est_error_FP","TPR","FPR"
"two-step+refitted",0.2,2500,1000,114,10,1,0.0454642250730627,0.238865504218214,1,0.0333333333333333
"two-step oracle",0.2,2500,1000,114,10,1,0.0535007973869628,0,NA,NA
"two-step",0.2,2500,1000,115,10,0.2,0.865890355737066,0.28811759309594,0.3,0.0161616161616162
"two-step+refitted",0.2,2500,1000,115,10,0.2,0.682021031366841,1.47027978499667,0.3,0.0161616161616162
"two-step oracle",0.2,2500,1000,115,10,0.2,0.377831146292907,0,NA,NA
"two-step",0.2,2500,1000,115,10,0.4,0.402268331447189,0.197483441417839,1,0.0363636363636364
"two-step+refitted",0.2,2500,1000,115,10,0.4,0.14438280055963,0.769930208587283,1,0.0363636363636364
"two-step oracle",0.2,2500,1000,115,10,0.4,0.152952866415528,0,NA,NA
"two-step",0.2,2500,1000,115,10,0.6,0.226545540496441,0.100593783739699,1,0.0303030303030303
"two-step+refitted",0.2,2500,1000,115,10,0.6,0.0795835158415585,0.399218864049845,1,0.0303030303030303
"two-step oracle",0.2,2500,1000,115,10,0.6,0.0840539695671916,0,NA,NA
"two-step",0.2,2500,1000,115,10,0.8,0.150344156194722,0.0751045514567725,1,0.0373737373737374
"two-step+refitted",0.2,2500,1000,115,10,0.8,0.0545815614694255,0.289151797108318,1,0.0373737373737374
"two-step oracle",0.2,2500,1000,115,10,0.8,0.0574111500940646,0,NA,NA
"two-step",0.2,2500,1000,115,10,1,0.116116922956633,0.0536796011448077,1,0.0353535353535354
"two-step+refitted",0.2,2500,1000,115,10,1,0.040866777313581,0.21756486327251,1,0.0353535353535354
"two-step oracle",0.2,2500,1000,115,10,1,0.0435069003141579,0,NA,NA
"two-step",0.2,2500,1000,116,10,0.2,0.933364526449597,0.043907797735282,0.1,0.00101010101010101
"two-step+refitted",0.2,2500,1000,116,10,0.2,0.930235515179261,0.520426024835299,0.1,0.00101010101010101
"two-step oracle",0.2,2500,1000,116,10,0.2,0.479072550150164,0,NA,NA
"two-step",0.2,2500,1000,116,10,0.4,0.442655584169127,0.122589051827705,1,0.0303030303030303
"two-step+refitted",0.2,2500,1000,116,10,0.4,0.202841594617889,0.691916857857773,1,0.0303030303030303
"two-step oracle",0.2,2500,1000,116,10,0.4,0.193937213714139,0,NA,NA
"two-step",0.2,2500,1000,116,10,0.6,0.234281670910993,0.0800107996104437,1,0.0373737373737374
"two-step+refitted",0.2,2500,1000,116,10,0.6,0.112518584837462,0.408755701265882,1,0.0373737373737374
"two-step oracle",0.2,2500,1000,116,10,0.6,0.106576575133863,0,NA,NA
"two-step",0.2,2500,1000,116,10,0.8,0.163109990411174,0.0501304908689563,1,0.0333333333333333
"two-step+refitted",0.2,2500,1000,116,10,0.8,0.0757097575198113,0.269329242321859,1,0.0333333333333333
"two-step oracle",0.2,2500,1000,116,10,0.8,0.0727947030107842,0,NA,NA
"two-step",0.2,2500,1000,116,10,1,0.124091685168923,0.0373128638399848,1,0.0323232323232323
"two-step+refitted",0.2,2500,1000,116,10,1,0.0571425044934232,0.200744558274169,1,0.0323232323232323
"two-step oracle",0.2,2500,1000,116,10,1,0.055164752528038,0,NA,NA
"two-step",0.2,2500,1000,117,10,0.2,0.931070059775567,0,0.2,0
"two-step+refitted",0.2,2500,1000,117,10,0.2,0.816975093376484,0,0.2,0
"two-step oracle",0.2,2500,1000,117,10,0.2,0.590399487453639,0,NA,NA
"two-step",0.2,2500,1000,117,10,0.4,0.526675036072881,0.0631327844769644,1,0.0101010101010101
"two-step+refitted",0.2,2500,1000,117,10,0.4,0.222637650527215,0.503224718909726,1,0.0101010101010101
"two-step oracle",0.2,2500,1000,117,10,0.4,0.239004366956783,0,NA,NA
"two-step",0.2,2500,1000,117,10,0.6,0.271548434239566,0.0543320875651963,1,0.0181818181818182
"two-step+refitted",0.2,2500,1000,117,10,0.6,0.120648499438099,0.357616390393941,1,0.0181818181818182
"two-step oracle",0.2,2500,1000,117,10,0.6,0.131342852588556,0,NA,NA
"two-step",0.2,2500,1000,117,10,0.8,0.197746666731827,0.023642558890926,1,0.0101010101010101
"two-step+refitted",0.2,2500,1000,117,10,0.8,0.0835676773518773,0.18888671546955,1,0.0101010101010101
"two-step oracle",0.2,2500,1000,117,10,0.8,0.0897107449246202,0,NA,NA
"two-step",0.2,2500,1000,117,10,1,0.14813316190062,0.0196196462627993,1,0.0131313131313131
