"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step oracle",0.05,10000,1000,177,10,0.0641298160126659,0,NA,NA
"two-step(bic)",0.05,10000,1000,178,10,0.124162014976155,0,1,0
"two-step+refitted",0.05,10000,1000,178,10,0.103659846594787,0,1,0
"two-step oracle",0.05,10000,1000,178,10,0.114698004665269,0,NA,NA
"two-step(bic)",0.05,10000,1000,179,10,0.0714971881932476,0,1,0
"two-step+refitted",0.05,10000,1000,179,10,0.0683610675360824,0,1,0
"two-step oracle",0.05,10000,1000,179,10,0.0730078688895781,0,NA,NA
"two-step(bic)",0.05,10000,1000,17,10,0.0859157668190746,0.00676257958279779,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,17,10,0.0638923466653975,0.0512801354322907,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,17,10,0.0690653369845157,0,NA,NA
"two-step(bic)",0.05,10000,1000,180,10,0.0512795244116239,0,1,0
"two-step+refitted",0.05,10000,1000,180,10,0.0338291009079824,0,1,0
"two-step oracle",0.05,10000,1000,180,10,0.0387045000513149,0,NA,NA
"two-step(bic)",0.05,10000,1000,181,10,0.0911666643075072,0.00485268133620987,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,181,10,0.0900554706697436,0.0513058607463223,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,181,10,0.109879126967713,0,NA,NA
"two-step(bic)",0.05,10000,1000,182,10,0.0833400497615975,0,1,0
"two-step+refitted",0.05,10000,1000,182,10,0.0509544435661046,0,1,0
"two-step oracle",0.05,10000,1000,182,10,0.0585776816778242,0,NA,NA
"two-step(bic)",0.05,10000,1000,183,10,0.0532293611000913,0,1,0
"two-step+refitted",0.05,10000,1000,183,10,0.0405974475123518,0,1,0
"two-step oracle",0.05,10000,1000,183,10,0.0493046058389167,0,NA,NA
"two-step(bic)",0.05,10000,1000,184,10,0.0701975396813829,0,1,0
"two-step+refitted",0.05,10000,1000,184,10,0.0488271845653601,0,1,0
"two-step oracle",0.05,10000,1000,184,10,0.0566083224659105,0,NA,NA
"two-step(bic)",0.05,10000,1000,185,10,0.0898196550821276,0.00828127036104045,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,185,10,0.0574276076148936,0.0580177491311096,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,185,10,0.0645682133965358,0,NA,NA
"two-step(bic)",0.05,10000,1000,186,10,0.10917030039818,0.00735319162136369,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,186,10,0.100139201315957,0.054696708272022,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,186,10,0.104375710432853,0,NA,NA
"two-step(bic)",0.05,10000,1000,187,10,0.0956101750723243,0,1,0
"two-step+refitted",0.05,10000,1000,187,10,0.0861755922831757,0,1,0
"two-step oracle",0.05,10000,1000,187,10,0.0997124732976073,0,NA,NA
"two-step(bic)",0.05,10000,1000,188,10,0.0854422365797279,0,1,0
"two-step+refitted",0.05,10000,1000,188,10,0.0651775803743152,0,1,0
"two-step oracle",0.05,10000,1000,188,10,0.0617611298257749,0,NA,NA
"two-step(bic)",0.05,10000,1000,189,10,0.106644419029543,0,1,0
"two-step+refitted",0.05,10000,1000,189,10,0.0877654229115041,0,1,0
"two-step oracle",0.05,10000,1000,189,10,0.106878433554317,0,NA,NA
"two-step(bic)",0.05,10000,1000,18,10,0.113683477111713,0,1,0
"two-step+refitted",0.05,10000,1000,18,10,0.0762758061631918,0,1,0
"two-step oracle",0.05,10000,1000,18,10,0.101627161508414,0,NA,NA
"two-step(bic)",0.05,10000,1000,190,10,0.063062866789743,0.0103865870575122,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,190,10,0.0443466684632501,0.0516321026296478,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,190,10,0.0443011702815924,0,NA,NA
"two-step(bic)",0.05,10000,1000,191,10,0.0787178014056029,0,1,0
"two-step+refitted",0.05,10000,1000,191,10,0.070322524999488,0,1,0
"two-step oracle",0.05,10000,1000,191,10,0.0695523442161989,0,NA,NA
"two-step(bic)",0.05,10000,1000,192,10,0.128165386177986,0,1,0
"two-step+refitted",0.05,10000,1000,192,10,0.110144380341105,0,1,0
"two-step oracle",0.05,10000,1000,192,10,0.127825444497878,0,NA,NA
"two-step(bic)",0.05,10000,1000,193,10,0.0532461471372917,0,1,0
"two-step+refitted",0.05,10000,1000,193,10,0.0529894691326426,0,1,0
"two-step oracle",0.05,10000,1000,193,10,0.0635629275543995,0,NA,NA
"two-step(bic)",0.05,10000,1000,194,10,0.0947267535832382,0,1,0
"two-step+refitted",0.05,10000,1000,194,10,0.0761666896790473,0,1,0
"two-step oracle",0.05,10000,1000,194,10,0.0948248501413174,0,NA,NA
"two-step(bic)",0.05,10000,1000,195,10,0.0829712768803374,0,1,0
"two-step+refitted",0.05,10000,1000,195,10,0.0616609117694714,0,1,0
"two-step oracle",0.05,10000,1000,195,10,0.0638660335527293,0,NA,NA
"two-step(bic)",0.05,10000,1000,196,10,0.0913653471946423,0,1,0
"two-step+refitted",0.05,10000,1000,196,10,0.0693844586931691,0,1,0
"two-step oracle",0.05,10000,1000,196,10,0.0907642491384686,0,NA,NA
"two-step(bic)",0.05,10000,1000,197,10,0.0901588130184302,0,1,0
"two-step+refitted",0.05,10000,1000,197,10,0.0649646577006467,0,1,0
"two-step oracle",0.05,10000,1000,197,10,0.077661741070513,0,NA,NA
"two-step(bic)",0.05,10000,1000,198,10,0.0859361048142276,0.0169736424463224,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,198,10,0.067647148199228,0.0676522070327168,1,0.00101010101010101
"two-step oracle",0.05,10000,1000,198,10,0.0732531248932656,0,NA,NA
"two-step(bic)",0.05,10000,1000,199,10,0.0755048564865618,0,1,0
"two-step+refitted",0.05,10000,1000,199,10,0.0528065718338928,0,1,0
"two-step oracle",0.05,10000,1000,199,10,0.0608685314952573,0,NA,NA
"two-step(bic)",0.05,10000,1000,19,10,0.134029608693672,0,1,0
"two-step+refitted",0.05,10000,1000,19,10,0.115371072201569,0,1,0
