"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"two-step",0.05,10000,1000,213,10,0.0670042695536493,1,0.0252525252525253
"two-step+Adaptive Lasso",0.05,10000,1000,213,10,0.306482058137,1,0.0232323232323232
"two-step oracle",0.05,10000,1000,213,10,0.00630243551394862,NA,NA
"glmnet",0.05,10000,1000,213,10,0.0425299784538697,1,0
"two-step",0.05,10000,1000,214,10,0.0326972966129851,1,0.00606060606060606
"two-step+Adaptive Lasso",0.05,10000,1000,214,10,0.239368146725744,1,0.00606060606060606
"two-step oracle",0.05,10000,1000,214,10,0.00787572336461108,NA,NA
"glmnet",0.05,10000,1000,214,10,0.0517653968809593,1,0
"two-step",0.05,10000,1000,215,10,0.0664601399696783,1,0.0141414141414141
"two-step+Adaptive Lasso",0.05,10000,1000,215,10,0.31167311877031,1,0.0141414141414141
"two-step oracle",0.05,10000,1000,215,10,0.0108676335550865,NA,NA
"glmnet",0.05,10000,1000,215,10,0.0438866269589818,1,0
"two-step",0.05,10000,1000,216,10,0.03709714381758,1,0.00303030303030303
"two-step+Adaptive Lasso",0.05,10000,1000,216,10,0.206888538203142,1,0
"two-step oracle",0.05,10000,1000,216,10,0.00872604198877009,NA,NA
"glmnet",0.05,10000,1000,216,10,0.0480566939442514,1,0
"two-step",0.05,10000,1000,217,10,0.120029374606572,1,0.0444444444444444
"two-step+Adaptive Lasso",0.05,10000,1000,217,10,0.424789313824026,1,0.0424242424242424
"two-step oracle",0.05,10000,1000,217,10,0.0092815574398959,NA,NA
"glmnet",0.05,10000,1000,217,10,0.0399809933373302,1,0
"two-step",0.05,10000,1000,218,10,0.0533585184593102,1,0.0131313131313131
"two-step+Adaptive Lasso",0.05,10000,1000,218,10,0.271919609028898,1,0.0111111111111111
"two-step oracle",0.05,10000,1000,218,10,0.0100156145391023,NA,NA
"glmnet",0.05,10000,1000,218,10,0.0454201925679265,1,0
"two-step",0.05,10000,1000,219,10,0.097617374218093,1,0.0161616161616162
"two-step+Adaptive Lasso",0.05,10000,1000,219,10,0.329110902687248,1,0.0161616161616162
